date,spx_close,vix,vix_q,above200,ts_ema,ts_state,prob_3d,n_cell_3d,prob_2d,nhnl_ratio,nhnl_state,oas,oas_rank252,gexn_rank252,lamp_ts,lamp_nhnl,lamp_credit,lamp_gex,lamps_on,lamps_available,stale_ts_d,stale_nhnl_d,stale_oas_d,stale_gex_d,tick_ma_hi,tick_ma_cl,tick_ma_lo,tick_spread_rank252,tick_zone,stale_tick_d
2026-08-20,7641.16,16.01,2,1,0.822,2,0.1377,893,0.0864,0.7666,2,2.73,0.206,0.242,0,0,0,0,0,4,0,0,1,0,,,,,,
2026-08-21,7674.37,15.13,2,1,0.82,2,0.1095,941,0.0864,0.7885,2,2.75,0.286,0.198,0,0,0,1,1,4,0,0,1,0,,,,,,
2026-08-24,7652.86,15.85,2,1,0.837,2,0.1247,778,0.0863,0.7688,2,2.7,0.103,0.29,0,0,0,0,0,4,0,0,3,0,628.3,-2.9,-658.9,0.012,buy,0
2026-08-25,7677.28,15.45,2,1,0.843,2,0.0991,807,0.0866,0.761,2,2.69,0.079,0.302,0,0,0,0,0,4,0,0,1,0,629.1,10.0,-657.3,0.012,buy,0
2026-08-26,7675.7,15.21,2,1,0.844,2,0.099,808,0.0866,0.756,2,2.7,0.111,0.321,0,0,0,0,0,4,0,0,1,0,631.0,24.9,-638.9,0.008,neutral,0
2026-08-27,7730.99,14.51,2,1,0.835,2,0.0986,801,0.0865,0.727,2,2.67,0.044,0.409,0,0,0,0,0,4,0,0,1,0,632.7,12.1,-633.9,0.008,neutral,0
2026-08-28,7711.76,14.43,2,1,0.83,2,0.0985,802,0.0865,0.7236,2,2.63,0.008,0.222,0,0,0,0,0,4,0,0,1,0,644.1,15.9,-660.3,0.04,buy,0
2026-08-31,7686.14,14.92,2,1,0.841,2,0.0984,803,0.0864,0.7236,2,2.63,0.008,0.262,0,0,0,0,0,4,0,3,4,0,638.2,-16.9,-669.5,0.044,buy,0
2026-09-01,7631.47,16.34,3,1,0.866,2,0.1371,890,0.1244,0.6124,2,2.63,0.016,0.23,0,0,0,0,0,4,0,0,1,0,626.1,-3.5,-675.7,0.036,buy,0
2026-09-02,7666.6,15.2,2,1,0.862,2,0.1086,948,0.0864,0.6129,2,2.65,0.036,0.369,0,0,0,0,0,4,0,0,1,0,632.3,-8.2,-685.9,0.052,buy,0
2026-09-03,7747.71,14.32,2,1,0.842,2,0.1085,949,0.0863,0.6347,2,2.66,0.052,0.706,0,0,0,0,0,4,0,0,1,0,651.8,21.9,-683.1,0.056,sell,0
2026-09-04,7718.6,14.53,2,1,0.833,2,0.1084,950,0.0863,0.6502,2,2.65,0.04,0.675,0,0,0,0,0,4,0,0,1,0,655.5,15.8,-706.1,0.063,sell,0
2026-09-08,7673.52,15.72,2,1,0.844,2,0.1083,951,0.0862,0.6307,2,2.68,0.083,0.675,0,0,0,0,0,4,0,0,1,4,662.5,29.7,-727.9,0.071,sell,0
2026-09-09,7636.36,16.46,3,1,0.858,2,0.1362,896,0.1243,0.5641,2,2.67,0.071,0.278,0,0,0,0,0,4,0,0,1,0,668.7,60.0,-742.9,0.087,sell,0
2026-09-10,7591.7,17.84,3,1,0.881,2,0.1368,892,0.1242,0.5073,2,2.71,0.194,0.345,0,0,0,0,0,4,0,0,1,0,625.9,54.9,-762.7,0.071,buy,0
2026-09-11,7656.98,15.84,2,1,0.866,2,0.1082,952,0.0862,0.493,2,2.7,0.147,0.714,0,0,0,0,0,4,0,0,1,0,666.9,27.4,-741.4,0.087,sell,0
2026-09-14,7619.98,17.1,3,1,0.877,2,0.1366,893,0.1242,0.4668,2,2.65,0.044,0.714,0,0,0,0,0,4,0,0,3,3,658.2,31.5,-757.5,0.099,sell,0
2026-09-15,7585.73,17.2,3,1,0.883,2,0.1229,789,0.1241,0.4499,2,2.71,0.206,0.321,0,0,0,0,0,4,0,0,1,0,655.7,60.5,-766.0,0.103,sell,0
2026-09-16,7551.81,17.71,3,1,0.89,2,0.1228,790,0.124,0.4238,2,2.76,0.353,0.187,0,0,0,1,1,4,0,0,1,0,669.5,67.6,-824.2,0.19,sell,0
2026-09-17,7637.76,15.44,2,1,0.861,2,0.0983,804,0.0861,0.4426,2,2.7,0.155,0.516,0,0,0,0,0,4,0,0,1,0,716.9,45.5,-823.1,0.282,sell,0
2026-09-18,7650.5,14.81,2,1,0.837,2,0.108,954,0.0861,0.3866,2,2.7,0.159,0.873,0,0,0,0,0,4,0,0,1,0,722.1,35.4,-828.5,0.302,sell,0
2026-09-21,7764.7,14.87,2,1,0.83,2,0.108,954,0.086,0.3522,2,2.68,0.095,0.667,0,0,0,0,0,4,0,0,3,0,717.1,23.3,-806.3,0.25,sell,0
