date,ticker,category,close,change_pct,rel_volume,rs_line_pctl_21,rs_line_pctl_63,cross_ema21_up,cross_sma50_up,atr_from_sma50,ema21_dist,sma50_dist,hi20,perf_1m,perf_3m
2026-08-19,SPY,index,769.06,0.0021,0.77,,,False,False,2.67,0.0078,0.0252,False,0.0278,0.0509
2026-08-19,QQQ,index,716.08,-0.002,0.83,42.9,14.3,False,False,0.27,0.0021,0.0045,False,0.01,0.0219
2026-08-19,IWM,index,301.72,0.005,0.64,57.1,54.0,False,False,1.57,0.0084,0.0193,False,0.0175,0.1078
2026-08-19,DIA,index,534.27,0.0026,0.72,23.8,41.3,False,False,2.06,0.0042,0.0191,False,0.0245,0.0848
2026-08-19,RSP,index,222.07,0.0104,0.85,76.2,92.1,False,False,3.67,0.0152,0.0351,False,0.0438,0.1057
2026-08-19,TLT,bonds,83.02,0.0167,1.82,57.1,19.0,True,False,-1.37,0.0046,-0.0109,False,-0.0037,0.0117
2026-08-19,IEF,bonds,93.38,0.0048,1.12,57.1,19.0,True,True,0.2,0.0033,0.0007,True,0.0042,0.0131
2026-08-19,SHY,bonds,82.06,0.0005,1.87,52.4,17.5,False,False,4.41,0.0024,0.0044,True,0.0052,0.0092
2026-08-19,HYG,bonds,79.71,0.0023,0.93,57.1,19.0,False,False,2.32,0.0032,0.0056,False,0.0056,0.0193
2026-08-19,LQD,bonds,106.57,0.0069,1.27,52.4,17.5,True,False,-0.98,0.0023,-0.0045,False,0.0017,0.0065
2026-08-19,TIP,bonds,107.51,0.0046,1.64,57.1,19.0,False,True,0.95,0.0043,0.0025,True,0.0039,0.0047
2026-08-19,GLD,metals,413.84,0.0384,2.07,100.0,79.4,False,False,4.29,0.0553,0.0846,True,0.1041,0.0057
2026-08-19,SLV,metals,60.01,0.0447,1.17,100.0,65.1,False,False,2.42,0.0593,0.0816,True,0.1306,-0.103
2026-08-19,GDX,metals,97.33,0.0942,1.92,100.0,100.0,False,False,5.03,0.1425,0.226,True,0.3119,0.1617
2026-08-19,SIL,metals,95.87,0.0953,1.62,100.0,100.0,False,False,4.27,0.1286,0.1995,True,0.2693,0.11
2026-08-19,USO,energy,130.91,0.0019,0.67,66.7,61.9,False,False,2.38,0.0449,0.0901,False,0.016,-0.1442
2026-08-19,UNG,energy,10.01,-0.0089,1.46,38.1,12.7,False,False,-2.63,-0.0113,-0.0684,False,-0.0375,-0.1588
2026-08-19,DBA,commodities,28.29,0.0093,0.81,61.9,69.8,False,False,3.22,0.0181,0.0333,True,0.005,0.0004
2026-08-19,IBIT,crypto,38.78,0.0596,3.34,100.0,87.3,False,False,2.92,0.0626,0.0775,True,0.0295,-0.1085
2026-08-19,ETHA,crypto,15.88,0.0997,3.5,100.0,92.1,False,False,4.87,0.1066,0.1653,True,0.0929,-0.0031
2026-08-19,UUP,fx,27.88,-0.0092,0.73,14.3,4.8,False,False,-3.53,-0.0107,-0.014,False,-0.0211,0.0032
2026-08-19,EEM,intl,66.11,0.0118,0.63,76.2,30.2,True,True,0.09,0.0084,0.0017,False,0.0118,0.0341
2026-08-19,EFA,intl,107.66,0.0036,0.9,57.1,74.6,False,False,2.86,0.0081,0.028,False,0.0346,0.073
2026-08-19,FXI,intl,35.68,0.0177,0.97,38.1,54.0,True,False,2.83,0.0105,0.0391,False,0.0303,-0.0092
2026-08-19,EWJ,intl,94.78,-0.0062,1.43,23.8,30.2,False,False,0.79,-0.0034,0.0129,False,0.022,0.0554
2026-08-19,VNQ,real_assets,98.61,0.0101,0.79,47.6,27.0,True,True,0.48,0.0027,0.006,False,-0.0091,0.0441
2026-08-20,SPY,index,762.6,-0.0084,0.88,,,False,False,1.68,-0.0006,0.0158,False,0.0203,0.0315
2026-08-20,QQQ,index,710.93,-0.0072,0.79,52.4,17.5,False,False,-0.17,-0.0047,-0.0028,False,0.0079,-0.002
2026-08-20,IWM,index,297.67,-0.0134,0.94,33.3,34.9,False,False,0.37,-0.0047,0.0047,False,0.0132,0.0661
2026-08-20,DIA,index,527.51,-0.0127,0.69,19.0,34.9,False,False,0.57,-0.0077,0.0055,False,0.0116,0.0577
2026-08-20,RSP,index,220.28,-0.0081,0.62,76.2,92.1,False,False,2.81,0.0065,0.0268,False,0.037,0.0904
2026-08-20,TLT,bonds,82.34,-0.0082,1.39,61.9,20.6,False,False,-2.28,-0.0033,-0.0185,False,-0.0092,-0.0072
2026-08-20,IEF,bonds,93.0,-0.0041,0.71,61.9,20.6,False,False,-0.88,-0.0008,-0.0034,False,0.0001,0.0089
2026-08-20,SHY,bonds,82.02,-0.0005,0.65,61.9,20.6,False,False,1.59,0.0009,0.0017,False,0.0007,0.0049
2026-08-20,HYG,bonds,79.56,-0.0019,1.3,61.9,20.6,False,False,1.49,0.0012,0.0037,False,0.0033,0.0149
