as_of,ticker,ep_date,days_since,stage,held,near,contracting,breakout,close,vs_ep_close_pct,ep_range_pct,recent_range_pct,base_high,today_change_pct,today_relvol,ep_change,ep_relvol
2026-08-13,CACI,2026-08-06,5,basing,True,True,True,False,670.0,0.06553861132128946,0.15028865488039084,0.038166726035558936,682.52001953125,-0.014821810428980897,0.9844524407631203,0.2138,3.04
2026-08-13,CHYM,2026-08-06,5,basing,True,True,True,False,32.18000030517578,0.029760009765624984,0.18079998779296874,0.05147384808199523,32.47999954223633,0.01835442774380991,1.9504710898706892,0.2056,4.88
2026-08-13,CRON,2026-08-06,5,basing,True,True,True,False,3.1600000858306885,0.029316011252425334,0.07100975240734816,0.038612909424287134,3.174999952316284,-0.0031545710481332145,1.3157940460015358,0.1287,5.07
2026-08-13,GCT,2026-08-06,5,basing,True,True,True,False,53.22999954223633,0.015839656339466046,0.1826335766440362,0.04614105096386596,54.77000045776367,0.030391012378271798,0.838762418772262,0.1332,3.55
2026-08-13,GDRX,2026-08-06,5,basing,True,True,True,False,3.7200000286102295,0.0,0.1586021262450721,0.06296622614621894,3.890000104904175,0.03621173190779836,0.9142113008586281,0.1376,3.36
2026-08-13,HNST,2026-08-06,5,basing,True,True,True,False,5.03000020980835,-0.07195569391066636,0.1845018424213333,0.06327507108635609,5.789999961853027,-0.007889538559901044,1.05426310269729,0.4078,9.35
2026-08-13,HRTG,2026-08-06,5,basing,True,True,True,False,33.27000045776367,-0.055097945957189975,0.15194548482192483,0.04239086310862457,34.810001373291016,0.009405381732460638,0.7118367428181868,0.1647,3.3
2026-08-13,KRO,2026-08-06,5,basing,True,True,True,False,8.649999618530273,0.0510328189131124,0.19684088122756316,0.07823686820793635,8.859999656677246,0.10050883862550775,1.4648265881015143,0.3253,4.2
2026-08-13,ALTI,2026-08-05,6,basing,True,True,True,False,4.190000057220459,-0.09307355822295382,0.2316017744948261,0.051522350444995,4.619999885559082,0.01452783077892561,0.644474924386298,0.2419,9.58
2026-08-13,BVS,2026-08-05,6,basing,True,True,True,False,13.890000343322754,-0.08977718643582666,0.21055041256100296,0.031209089669013496,15.020000457763672,-0.0017965949406257842,0.817999612077326,0.1371,3.28
2026-08-13,CRCT,2026-08-05,6,basing,True,True,True,False,5.929999828338623,-0.02306430632018175,0.18286657366116582,0.051537215122936186,6.130000114440918,0.008503352538192788,1.1298492286771173,0.2287,5.12
2026-08-13,FRPT,2026-08-05,6,basing,True,True,True,False,72.7300033569336,0.01762980431943073,0.12718628532291115,0.043019533675631494,73.30000305175781,0.005808405649571524,0.5204445267844007,0.1457,4.76
2026-08-13,GERN,2026-08-05,6,basing,True,True,True,False,1.5399999618530273,-0.05521474456557396,0.1656441605621881,0.07244897051439912,1.649999976158142,-0.01910833732279482,0.45150395795281234,0.2164,3.42
2026-08-13,GSM,2026-08-05,6,basing,True,True,True,False,4.380000114440918,0.055421690069412444,0.09397586928273696,0.05192322728568578,4.71999979019165,-0.015730269174051625,0.5762877712833487,0.2135,3.45
2026-08-13,HY,2026-08-05,6,basing,True,False,True,False,34.38999938964844,-0.1502347824972231,0.1803805044939338,0.04785601010628249,40.61000061035156,0.004087573420392232,1.7299654006919862,0.152,3.43
2026-08-13,EWTX,2026-08-04,7,basing,True,True,True,False,43.18000030517578,-0.0341125481135659,0.09931771490555456,0.040378755476391456,45.93000030517578,-0.008723623878217679,0.5879154536006552,0.1648,3.58
2026-08-13,IBTA,2026-08-04,7,basing,True,True,True,False,38.18000030517578,0.022495986854720762,0.201660435347471,0.06971638673330914,39.90999984741211,0.06499308034103923,1.4394995500185286,0.5191,5.35
2026-08-13,AMBA,2026-07-31,9,basing,True,True,True,False,81.95999908447266,-0.04697675483171326,0.20081391445426053,0.04454353151492077,89.44000244140625,-0.01879563890540059,0.29945645153060946,0.1608,4.47
2026-08-13,BSBR,2026-07-31,9,basing,True,True,True,False,5.769999980926514,0.01763666724638413,0.0335097098172612,0.019415854084786015,5.909999847412109,0.003478257552437247,2.8112781092955093,0.1228,5.18
