date,seat,ticker,outcome,empty_reason,excluded_n,why,rs_1m,rs_3m,rs_line_pctl_21,atr_from_sma50,heat_rank,state
2026-08-21,burning,MRNA,shown,,,"heat 前 50 内最高(ATR<7,主题优先)",99,99,95.23809523809523,5.2086,1,Leading
2026-08-21,new_leader,PSNL,shown,,,今日新进 TML,98,99,100.0,5.3726,195,Leading
2026-08-21,entry,ASST,shown,,,今日 EP,98,34,100.0,4.8154,366,Leading
2026-08-21,v_reversal,PARR,shown,,,新高后回踩(52wh 新鲜×回撤3-20%×在回踩/收复格),47,87,42.857142857142854,2.0789,172,Leading
2026-08-21,coiling,SNOW,shown,,,3周紧(周K三连1.5%带×>50SMA×近52wh),88,98,100.0,4.108,575,Leading
2026-08-21,asset,GLD,shown,,,RS线21日=100×20日新高,,,100.0,5.3,,
2026-08-24,burning,BVS,shown,,,"heat 前 50 内最高(ATR<7,主题优先)",78,95,71.42857142857143,3.5846,8,Leading
2026-08-24,new_leader,VLO,shown,,,今日新进 TML,81,92,90.47619047619048,5.7011,1122,Leading
2026-08-24,entry,HUBS,shown,,,替补:Leading 主题里的回踩,72,81,80.95238095238095,2.3307,2444,Leading
2026-08-24,v_reversal,NESR,shown,,,新高后回踩(52wh 新鲜×回撤3-20%×在回踩/收复格),91,85,66.66666666666666,2.8886,548,Leading
2026-08-24,coiling,GKOS,shown,,,3周紧(周K三连1.5%带×>50SMA×近52wh),90,96,90.47619047619048,4.8213,657,Leading
2026-08-24,asset,GLD,shown,,,RS线21日=100×20日新高,,,100.0,5.71,,
2026-08-25,burning,ILMN,shown,,,"heat 前 50 内最高(ATR<7,主题优先)",84,94,100.0,4.5461,7,Leading
2026-08-25,new_leader,PSNL,shown,,,今日新进 TML,96,97,95.23809523809523,4.8566,104,Leading
2026-08-25,entry,ABSI,shown,,,替补:Leading 主题里的回踩,94,98,95.23809523809523,0.7547,46,Leading
2026-08-25,v_reversal,NESR,shown,,,新高后回踩(52wh 新鲜×回撤3-20%×在回踩/收复格),93,87,61.904761904761905,2.8549,570,Leading
2026-08-25,coiling,NFG,shown,,,3周紧(周K三连1.5%带×>50SMA×近52wh),48,47,52.38095238095239,1.3501,,Leading
2026-08-25,asset,GLD,shown,,,RS线21日=100×20日新高,,,100.0,5.88,,
