date,ad_line,advances,avg_volume,change_pct,close,declines,down_13pct_34d,down_13pct_34d_stockbee,down_25pct_month,down_25pct_month_stockbee,down_25pct_qtr,down_25pct_qtr_stockbee,down_4pct,down_50pct_month,down_50pct_month_stockbee,industry,market_cap,mcclellan_osc,new_highs,new_highs_common,new_lows,new_lows_common,pct_above_200sma,pct_above_20sma,pct_above_50sma,perf_1m,perf_1w,perf_1y,perf_3m,perf_6m,ratio_10d,ratio_10d_stockbee,ratio_5d,ratio_5d_stockbee,sector,t2108,up_13pct_34d,up_13pct_34d_stockbee,up_25pct_month,up_25pct_month_stockbee,up_25pct_qtr,up_25pct_qtr_stockbee,up_4pct,up_50pct_month,up_50pct_month_stockbee,volume
2026-08-14,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-17,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-18,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-19,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-20,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-21,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-24,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-26,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
2026-08-27,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0
